https://app.mapline.com/map/map_5d32f25a ,,,,,,,,,,,
,,,,,,,,,,,
page1:hostel,page1:notes,page1:genderAccomodation,page1:number_of_students,page2:date,page2:time,page2:location:Latitude,page2:location:Longitude,page2:location:Altitude,page2:location:Accuracy,page3:photo,page3:video
Nakiyinji Students hostel,Nakiyinji hostel located in kikoni is managed by Hajati Nagawa Sharia and owned by Hajji Nsubuga Yusuf,2,250,Thu May 18 00:00:00 UTC 2017,9:25:00,0.3367258,32.5615342,0,50,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A91495a7b-1e3d-4fa3-a33b-4e077ae11d19%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A91495a7b-1e3d-4fa3-a33b-4e077ae11d19%5D%2Fpage3%3Avideo
Douglas Villa hostel,Douglas villa hostel is located in kikoni and is managed by Muggaga Douglas who is a son to Nyombi Tembo who is the owner of the hostel,2,420,Thu May 18 00:00:00 UTC 2017,10:02:00,0.3366316,32.5618435,0,23.589,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac0781c45-3511-4b4d-abd2-805a27e2cf03%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac0781c45-3511-4b4d-abd2-805a27e2cf03%5D%2Fpage3%3Avideo
JJ Hostel,"JJ hostel is one of the new hostels in kikoni. It was opened up last year immediately after construction
It's mainly comprised of self contained rooms
Both double and single rooms are available at this hostel",2,140,Thu May 18 00:00:00 UTC 2017,11:05:00,0.3366641,32.5614458,0,26.469,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6a244395-aeba-40ed-9a84-8bab4f211d9b%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6a244395-aeba-40ed-9a84-8bab4f211d9b%5D%2Fpage3%3Avideo
Criv's Hostel,Criv's hostel is a small hostel located next to nakiyinji hostel managed by Mugerwa Ronald,2,24,Thu May 18 00:00:00 UTC 2017,15:08:00,0.3365387,32.5617993,0,50,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1b54a472-833d-4514-818b-74c3750bfbc8%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1b54a472-833d-4514-818b-74c3750bfbc8%5D%2Fpage3%3Avideo
Frama Hostel,It's fancy with a super market but has no shuttle to transport the students,2,180,Thu May 18 00:00:00 UTC 2017,6:33:00,0.335415,32.563655,0,50,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af333232d-0768-4efb-b85c-ba1f9dd1d1cd%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af333232d-0768-4efb-b85c-ba1f9dd1d1cd%5D%2Fpage3%3Avideo
Apex Girls Hostel,Rumoured to have the sexiest girls in makerere kikoni,1,180,Tue May 16 00:00:00 UTC 2017,8:23:00,0.3332468,32.5628597,0,29.24,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac82a6356-2e8c-4abd-96bc-2f812ee0397c%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac82a6356-2e8c-4abd-96bc-2f812ee0397c%5D%2Fpage3%3Avideo
Baskon Hostel,One of the oldest hostels at makerere located opposite makerere eastern gate,2,500,Sun May 14 00:00:00 UTC 2017,11:52:00,0.3340082,32.5638932,0,20,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeda62063-677a-4335-8523-37449cd07a45%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aeda62063-677a-4335-8523-37449cd07a45%5D%2Fpage3%3Avideo
Dream World Hostel,Has one of the worst inside infrastructure. Has cheap accimodation,2,160,Wed May 17 00:00:00 UTC 2017,10:28:00,0.333898,32.5619795,0,92.9,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae2acba1f-c10a-45af-9f7d-c2bd875d5a2c%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae2acba1f-c10a-45af-9f7d-c2bd875d5a2c%5D%2Fpage3%3Avideo
Garden courts Hostel,One of the few female hostels found in kikoni,1,200,Thu May 18 00:00:00 UTC 2017,14:19:00,0.3323176,32.5625063,0,50,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1775c052-4788-4fb4-a1c6-2cebe7be496d%5D%2Fpage3%3Aphoto,
God is Able Hostel,Located behind Olympia swimming pool,2,164,Sun May 14 00:00:00 UTC 2017,13:36:00,0.3357371,32.5604738,0,40.292,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A06e550b6-7c7a-4b73-bcc5-b6994ca94cfe%5D%2Fpage3%3Aphoto,https://kyagerahostel-project.appspot.com/view/binaryData?blobKey=build_Hostel-Form_1495019158%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A06e550b6-7c7a-4b73-bcc5-b6994ca94cfe%5D%2Fpage3%3Avideo
